,name,lat,long
304,Big Muddy Brewing,37.78182292,-89.33204055
305,Revolution Brewing Company,40.05161529,-105.0477556
306,White Birch Brewing,43.05712534,-71.44114457
307,Surly Brewing Company,45.04294225,-93.32438943
308,Mikerphone Brewing,42.02909208,-87.96704535
309,Four String Brewing Company,39.98904657,-83.03279943
310,Shebeen Brewing Company,41.575855,-73.000062
311,Minhas Craft Brewery,42.59863051,-89.641509
312,Round Guys Brewing,40.24337843,-75.28630882
313,New Orleans Lager & Ale Brewing ...,29.9199522,-90.08141776
314,Rahr & Sons Brewing Company,32.7371,-97.327292
315,Frog Level Brewing Company,35.4929673,-82.99178072
316,Oasis Texas Brewing Company,30.043267,-98.151206
317,Worthy Brewing Company,44.0553542,-121.2603915
318,Big Choice Brewing,39.98642943,-104.822433
319,Newburgh Brewing Company,41.49659119,-74.00811699
320,Two Henrys Brewing Company,28.0158875,-82.1366836
321,Stillwater Artisanal Ales,39.28408355,-76.56726435
322,Ska Brewing Company,61.219744,-149.893012
323,Notch Brewing Company,42.51985753,-70.89054473
324,Three Notch'd Brewing Company,38.0261159,-78.4820248
325,Foolproof Brewing Company,41.86939069,-71.41017837
326,Bolero Snort Brewery,40.86058569,-74.02983351
327,Liquid Hero Brewery,39.95854203,-76.74375254
328,Utah Brewers Cooperative,40.73267145,-111.8993199
329,KelSo Beer Company,40.68267586,-73.96564
330,Daredevil Brewing Company,39.844367,-86.64727
331,Aviator Brewing Company,35.61695983,-78.8073896
332,Blue Blood Brewing Company,40.77999602,-96.70701376
333,Orlison Brewing Company,47.6403069,-117.5924443
334,Bitter Root Brewing,46.24733778,-114.1551946
335,Swamp Head Brewery,29.6142515,-82.3736302
336,Peace Tree Brewing Company,41.31903523,-93.09970823
337,Big Elm Brewing,42.093595,-73.351236
338,Bale Breaker Brewing Company,46.57685541,-120.435573
339,Cottrell Brewing,41.370676,-71.834289
340,Northwoods Brewpub,44.58270666,-91.22665123
341,Pyramid Breweries,47.5920086,-122.33477
342,Moat Mountain Smoke House & Brew...,44.06850015,-71.14358535
343,Covington Brewhouse,30.47766326,-90.0970557
344,Jack's Abby Craft Lagers,42.28053688,-71.41115114
345,Mike Hess Brewing Company,33.11733416,-117.1893856
346,Petoskey Brewing,45.39705162,-84.90302424
347,Perrin Brewing Company,43.07152532,-85.68147561
348,Brew Link Brewing,39.68939196,-86.44435396
349,Bare Hands Brewery,41.76043025,-86.1176553
350,Three Pints Brewing,39.67820567,-86.37001324
351,Sun King Brewing Company,39.7692384,-86.14456962
352,450 North Brewing Company,39.26815462,-85.83274309
353,Taxman Brewing Company,39.52114838,-86.16709259
354,SanTan Brewing Company,33.30346762,-111.8421548
355,James Page Brewing Company,46.48836071,-93.1404603
356,Gonzo's BiggDogg Brewing,42.29105833,-85.5895586
